receipt,category
"The (Original Bewling Company -
Date 31/10/202:. 18:06
Ref 2YKC7BY
User Team Member
4 game (Student) , 9 @ £779
31/10/2023 18:10 to 18:3:

TOTAL (Inc VAT) £15.58
CHIP & PIN £15.58
NET (PAID) £15.58

am us ae 0A ee oe oe ee oe

VAT Number: 845 5421 23

Soild subject to stancard terms and conditions
Thank you for your visit to Hollywood Bow!

Please call again

",Entertainment
"= Sees x ~ ee .
W@SF LTD T/A COSTA See ge
wat NO: RECEIPT: 143650 oe ae
18\1 7865 26/10/2023 15:22 Sage
Lee ee ee ee oe ee ee ee ee ee ne . Shey ~
TAKE OUT QS
Cortado TA £3. 15V Bee We
c | ek
appuccino MED TA £3 .B0V eye
Lemon Curd Tart TA £2 .B0V is Ee
Items:3 Total :£9.55
Card: £9.55
Change : £0.00
RATE GOODS VAT#

0.00% 2.60 0.00
20 .00% 5.80 1.15

You were served by: Sukhmani

Unb AEE EA RAI
Card No : §337B0xxxxxd3603459x
Beans B/Fwd
Beans C/Fwd

R/Vouchers Balance 2
(1. 10 January 2024]
(2. 21 January 2024]

Thank you for using your Costa Card
Dap HEHE IIIA
Buckingham Avenue, Slough Trading Estate,

Slough, Berkshire, SL1 404
saeek THANK YOU FOR YOUR CUSTOMES##

OPENING HOURS: MON-FRI: 07 :00-18:00

CAT: 08:00-18:00 SUN: 09:00-17 :00
gacke TELEPHONE | TBCHRREREE
| Tell us about your visit
Text 7447 to 07481 342445
or visit www feedbacktocosta.co.UK
Cop website for T&Cs

———

",Eating Out
"GIUSEPPE’S
T KENT ROAD
SOUTHSEA
PO5 3EG
le

na err ~ dy
& |: i252 Webtia'y

Ciaire REG Rest Tiid 3
SATURDAY 23 SEPTEMBER 2025 PL47 SH

er

st a ke, Se me ee tate me

TABLE NO - ""1
MOVERS 4

1 MERLOT £75.UU
1 Bruschetta , £9.95
| Lect eave ecpaeensenees £G UU
| Rigatoni Campagna : £14.95
1 Penne Salmone £15.95
1 spaghetti Carbonara £14.95
1 spaghetti Bo £14.95
/ No
SUBTOTAL EOS £5
Service Charge r8.97¢
[TOTAL nb er are

Glusegpe and the team thank you for your
custom. We do appreciate feedback and

ask 1F vou could Provide a review on
Mripadvisui .

",Eating Out
,Eating Out
". >
i ST ta se
. . . - a 7 ~ you Ne . ~S *
i ; . ad og 2 ay ike ~ os Mo :
a, RQ fe me ee ED AMOS RSS . :
; Sane ee or +4 Ss te eee .
A eee 2 ee oe rae Se arr
oN. Wee - a al CoN . SS
ot ra Dg M@a « UR. x. “ . .
ei Pe ane a Yon >
R a ° : ine 3 ~ ~

Great Salterns
East Road
P03 6QB

MOAOrderPad 2184 a at
Michele 05 Sep 2023 14:43 ne ee

Table: 29 : 2 DROER #1988 gE
ROBIN BROOKS cae hig BORE
: TS ALLERGIC: No

1 Carling Keg = 4.30
1 Half Pint
StrngbowDrkFruit = 2.5U

—h
NH
©
©
(on)

2 Chix, Bon & WF]+
HRV 25%Mains 508942+ = ~7,00

If
ie)
~
co
co

Product Group Summary '
Food And Drink 27.88

20% VAT Net 23.23
20% VAT 4.65
20% VAT Total 2? .88

Tota | £27.88

Meee a eee a a
ee

Thank you for visiting us today!
tk would love to hear your thoughts at
ww uestsurvey.co.uk/harvester

lel 02392 651051
VAI 232 153 895

",Eating Out
"Miller & Carter Oracle
Unit 5, The Oracle Centre
RG1 2AG
2A20 /888-P05-03
Laura 28 Aug 2023 21:16

Fale: 39 oc: 2 Acc No: 9208
SO as

| bottle Wine
RarossaV | lyShrz
1 M&O LN23 Celebration-3C
1 Prawn Cocktad 4
- 1 1202 Sirloin |
1 Carame! Torte
1 MecCelir ..t10n3C
M&C LNS! i ce ation 3b =

29.90
41.99

33.95

eee

| oduct Creare Suma ry
-god And Drink 105.40

1% VAT Net

20% VAT
20% VAT Total

cers meneame et emanates #8 ee ee a A COS LOS,
_

87 .83
7.57
105.40

$105.40

isit? today
Thank you for visiting us
We love tO hear what you though at
sw questsurvey .co.uk/mi lTeran carte!

Tel 01189 509961
VAT 818 307 823 ;
An optional 10% service cnarge has
been added to tables of 8 or more.
All tips go to our team.

arn Geen
ef
q

eg Wy 8

SI AS
y Na a is

* ROA Aly
ly NR
Boe, Pen nh

NY

aw XS
DENTS 2”
ASR LAR A dS
se es wy A Ss BS .
a ROS RE ge
cA SALE ~ TN on .
yy ? aN Raa aS
° * aay
‘ . sy aS
: aN cae §

ay
xe ES sa
SRR xe
SK >
sk
",Eating Out
"M&S
EST. 1884

293 - 299 Bath Road
Slough en
SLi SPR SRL eS
01628 600546 we

VAT NO. GB232128892
www.marksandspencer .com

09853200 CARROT BAG 500G £0.40 oe
G0320405 CHESTNUTS £3.00 : 8
Items: 2 Balance to Pay £3.40 KOR Os
Card Tendered £3.40 a) ne
*xxPAYMENT APPROVED» ae
*x**kCARDHOLDER RECEIPT xxx - eee es
VISA DEBIT ane
MID: %*x**02072 TID: *xxx9261 S Pe fe
CARD: 446291XXXXKK2346 AUTH: 027227 Sie ey Z
READ: CONTACTLESS PAN SEQ NO:00

AID: A0000000031010
NO CARDHOLDER VERIFICATION
ViSA Contactless

KKK KK KKK RK KEK HKKK KK KKK KKK RIOR KK KK IOK KE KKK IOK

xx Join Sparks Today! *x

KKK KKK KK KKK KKK KKK KEK KKK KIO IK OOK IOI

Fancy the chance to get your shopping
for free?

Want to know you're helping charities?
Join Sparks at

marksandspencer .com/joinsparks
or download the M&S App

400d things happen every tine you shop

Please retain for your records

Terms and Conditions apply, see
@marksandspencer com

21/10/23 14:52 24003130 75088 705 5393

SI

3937050750888
\

a
",Groceries
"‘.

N

Ota valle: are 2 |

O S7anesocsootA Use

Th Poundland Linited
ank you for shopping vith Poundland 01753 512542

Connect vith us on Tuitter dPoundland
WM. Pound] and.co.uk/help/contact -stores/
VAT Hunber, 547 $122 45

HUMESTUS BLEACH BLUE /5Ult p £1.00
PURE SENS CLEANSING WIPES 25PK b £1.00

12 x £0.50)
SPh MAGGI CURRY NUONLES l £2.50 |
J0u PuT NOUDLE BOMBAY BAD BOY i £3.40
(4 x £0.05)

WILLUW BAKING BUITEK 2508 l £2.50
(2 x £1.25)

FOIL ROLL S3OOMNXIZH )

ELMLEA DOUBLE CREAN 27041 d

(2 k £1.25)

Rib Square Heck Top:Purple:s p £5.00
Dressing Gown W Houd Dragonfiy p £12.00
ax Total for 15 item(s) inclusive of VAI £30.96
(VAT paid) ¥3.35
CREDUT/DEBTT CARD £30.90

CUSTUNER RECEIPT

POUNDLAND LTD - 2061

145-147 FARNHAH RD SLOUGH RETALL PARK Si.OUGH , SLT 4X6
25/10/2023 13:22:09

RECEIPT NO. :9982

MID: XXX48254 $ 1D: XRXK294 1
AID: A0GH0000031010

VISA DEBIT.

XXXX XXAK XXAX SZ

PAN SEQ NO. 300
SALE GAP36. 90

TOTAL GBP30 . 90
PLEASE DEBIT H¥ ACCOUNT

CONSUMER DEVICE VERIFICATION

CONTACTLESS

PLEASE KEEP THIS RECEP] FOR YOUR RECORDS

AUTH CODE 005562

as Jatal Paynants
Change

Chance to WIK

00 Poundland Vouchers
by/telling us about your vist
www. poundland.co.uk/tel!-us
One Winner Per Month
website for T and Cs
Closing date 31st December 2023

see a poundland.cO.tk

nline at www.poundland.co. uk

ee

i"" ier aeE 8B oar 4640932 Ten) Oe Bt eee ee te
2081-5-453971 25/10/2023 15:22. 12

NT

£30.90
£0.00
",Groceries
"cantor a chance to win £4 ,000!

KKK

Please tell us how we did today at

www . tel lasda. com

[\SIpva\,

ONAL

ASDA STORES LID.
WwW . ASDA .COM
MANAGER TAN DALEY
TELFPHONE = 01753-524017

SLOUGH,
ST. 04154 OP. 009035 TL. 35 TR.
WATER 505478156925
WATE 505478 156925
WATER 505478 156925
W MILK 4 PT 000002033216
W MILK 4 PT 000002033216
SHEET POTATO 505085451478
SALAD BOWL 5057172310411.
SALAD BOWL 5057172310411
TOMATOES 506308929539
TOMATOES 506308929539
BISCUITS 505717270620
CAKE 505717293119
CLEANING 506026776058
CHOCOLATE 003400049110
SALMON 505407013601
SALMON 505407013601
SALMON 505407013601
SPRING ONION 505085426302
GRAPES 506308913306L
SPAGHETT 000002104306
BISCUITS 301776036339
BISCUITS 301776036339
CHOCOLATE 761303990571
CHOCOLATE 761303990571
COOKED MEAT 505717212205
ELMLEA 871920020476
ELMLEA 871920020476
BROWN ONIONS 505085451490
PEPPERS 505478158009
SWEETS 501047801451
CHOCOLATE 003400047069
GRAPES 506308913306L
FGGS 500032601021
SWEETS 501047801451
CHOCOLATE 003400047069
OREGANO 000002114267
ROSEMARY 000002114269
THYME 000002114272
WILLOW 000005029540
PASTA 869068400301
BURGER 509955602168
REDUCED TO CLEAR WAS £3.
MINCE 000002 753622
SALAD KIT 505717285817

YOGURT DRINK 506036050036
PAIN AU CHOC 505141357539
CHEWING GUM 400990053212

BREAD 901004400255

SHAMPOO 800109058012L
SHAMPOO 80010905801 2L
SHAMPOO 80010905801 2L.

Asda Rewards

08770

£2. O00V
£2.00V
£2. 00V
£1.45D
£1.45)
£1.20D
£2.00D
£2 .00D
£1 .00D
£1.00D
£1 .00D
€1.15D
£1_.99V
£1 .35V
£4. 48D
£4.48)
£4.48)
£0.50D
£1.30D
£0.75D
£1.25V
£1.25V
£1.50V
£1.50V
£2.75)
£1.30D
£1.30D
£0.95D
£1.65D
£1.15V
£1.35V
£1.30D
£2. 20D
£1.15V
£1.35V
£1 .00D
£1.00D
£1.00D
£1.50D
£0. 80D
£1.200

70

£2.37)
£1. 15D
£4.35)
£1.40D
£3. 00V
£1.90D
£9 .00V
£9 .OUV
£95 ..00V

MULTIBUY SAVINGS

Head 3f£11 198L. -£4.00
Salad bowls Zf£3.50  167L -£0.50
Produce, 2f£2 179L £0. 60
TOTAL ""£90. 15
CASH £100.00
CHANGE DUE £9.85
mh vO SOLD 50
6353 9909 520

il

ul

|

‘0 |

p onl ine at A

il

ih

|

hon oi yel very or Se or on ‘in tore

23/10/23 10:23:19

Ih

AL
",Groceries
"VIVASAYI SUPERMARKET
21-31 ELMSHOTT LANE
CIPPENHAM SL1 90S
UK

Tel: 01628668115

Staff: Gowry Varathan, Till ID: 1
Sale Date: 26/10/2023 13:56:48

IIE) PRICE) TY TOTAL CED
NAN PERI PRI RUB SH/BBQ 2 1.29/e8 1 = 1.29
BULDAK HOT CHICKEN 7006 5.49/ea 1 5,49
TOTAL : £6.78
TOTAL QTY :2

CARD £6./8
VISA

Auth Code: 003935

Exp Date: 0230

Method: CONTACTLESS

Card: ceebRKKEDB TZ

CHANGE £0.00

RATE —soNET(£) ~~ VANCE) TOTAL(£)
0.00 6.7/8 0.00 6./8

~

=
se

©

Printed On : 96/10/2023 13:56:48

| Thank you for shopping with us

",Groceries
