receipt,category
"Cip~nike FA HAM

a ) MY, Wie sest Oh pele ? OG OW
ak
Date: 1s/Oase ed
Thre: 115403 PY

Order: 3G Valteatvay

ak Gant Seana ger Men a, 10.A8
Mix ecg | 0.00
Largo | Phauming frhus sys '9)
“Spicy Signaturo Pot S00

“Dict Goko Can oe “000
Total GBP 10.98

er TL LY PON TOME KG SVS Ee%e IC

MASTERCARD DE CBU
mala anennee 2640 T°""""4602
C ‘are No: AAAAAAADAHAAS 410) Auth Coda:

Thanks for your yiolt ta GDK i archam. Wart to WIN a
1056 BOX for Your noxt visit? Scan tho QR code or visit
vatgalk.corn ant fll out a chort survay to be ontared
“ “rte our prize draw.

ae (IALIK YOU FOR YOUR ORDER
",Eating Out
"WEEE OUTCa

¢ a ed

ore OM 4k fem ig

‘Aide 6.9 ,
Pequpoct

ote RB se - woe

gor od

are

thy
yd

YABPRA
a) u e i} 4 !
O0
CVLSG yy tex Mey,

OTOL PO fu Moy

AAU AU

*4 tpn

1! tie

eo ne

te SANS [NOISE MAN ver
mod Ge 499 | [99 Pur

a nd Seren See eas
mae + th aw

“a 1 QOOLE & UTA OF BoURYO Y

ror i wet be ha rok Beh a On BO OF Bey ge

UGLY O JOY

BPO UO1LE. LJoyyny
SOW Autlaribac | (Pe

+ ACU

‘TY

(fon) PsIEIJO1S2)|

(. magn |
ieee 16 | { io

ork PF or a awe et

aed w- OR Oi ed as

Pai oUt.

i ie od mem .0, Ave +e ee 7 eh ee

STS p42)
05°43 -WIOL
ap td: -SUO 1 LCwWOI¢
51° 13- ‘SBUIARS
09% - [PLOLGTS

G13 SdS 11

ae Howe p otk 1g Buf. re

ae 7's LON er Vi od) Ang GO: | a) r

w ? rd
Are ee SS
OP pe ay TOD eg Oa
ee ee 0) ©
{ ] 2iodY
sj 7 a 7 . : . }
; if oh ot ff 5
",Groceries
"Albert
Any
www. TOSCO.
VAT Number:

quest toms Dloace..

Rod Ex ores.
vic Vt

com/store> locuto:

GB 220 4302 31

1 Haribo Tangfastics 179g £1 .3S

~  ¢¢ £1.20 | “i. oS

1 swizzels Drunetick Squash es $1.15

1 ea vo Flavour £0.35
5g .

1 Lay's cheddar & Onion Grab £1.69

Me or | spe 499 ,

Heal | £0.40
ra$CO sausatie Bacon &R Egg / £3.00
7riple - a |
Meal Deal - | ~24 22

1 Lucozade Spar Raspberry 500m). 61.70
: eal Deal . -¢0.8
Subtotal : , £9.09
Savings: | “£2.45
Promo ons: ~£2.49
TOTAL: 86 9
Car €6 85
hoard ir ts earned: 12
C]ubeard poin 6
Clubcard points hal ance: {as
Ineter abt t a
Hastorcerd A0000000041010
AID: REX NWKAKKARRHOTY
Nunoe’ ‘uence ne. 00
Pan $ sed
Authorisation code: 2V491R

Marahani' :

26284805
",Groceries
"Wa ed bey DE mel og ee t.

a + en on TF nee
Wr te a et we,

wa

canes NA Le04- ov AY
ny
i ve | el | j i) MI

7 vata adv. moe 7 Woy: yen . .
Sy! id OA» ‘ath 16 Wh
Nd GF yal loo pup
LIPO THIN 0059 MG 1
ML 00013 ; ua 4 aa vo

SORPRC Weg 54)
OEPSLY | / BLO. UG | 3."" |, dons ly

1 5 ; FOU ya antes U2¢
Lol [ [Pe RX RRMA REY QUIK
“Oy

010! POOOONANOY
2 1Geq pIerda Lo,

-QNUR [eq SLUlod pusodn 3

ee

i spauuea stUlOd pus 24S
erent ber

ot __ oe eee cette
a By, UeGNs Pe Le |NuUB IH 1

16 zoek O@2 ah ‘sequin LyA
3971290 | - 9102S /IN5 ‘gose] * Ama

1IS}A esee[d sllo(1Ssenb Aur
SsSOdXy py ded (ly

a a a re
a a
a a 7 OL.

- RAR fe ~\ .
\ } WV .

( Me yf t. “ ) se :
mon a 4
",Groceries
"; ALA i piteho
iy
ae Ve hla rela Rad
Meiten, part qnourtyy

eel

~ ) on
sais NUGAETS- IPPC kes y At
Oe

. oN
705035 HAM WAFER THIN 4.95 7
* 330712 CHEESE cen 8.97 4
68150 TORTILLA ie PIN = 2.97 8

Con

64348 Crisps C80 Ron

* 296826 COLA/DIET COLA 2k. 1.96 8
T o t a il 3 3S

16 Itens

Card Sales GBP 23.36

A 00.0% Net 19,62 Vat 0 00

B 20.0% Net — —- 12 Vat 0.42
* 1553 734 /098/009/802 24. 02. 24 18:12

Thank you Tor shopping at |
Britain's Best Value Supermarket
HAldiEverydayAmaZing
Every day, seven young people
Aged 13-24 are diagnosed ¥'""
oe - wrk, Co ae 4 re

cane onage oe Tee am oY a as

",Groceries
"eee aS )h UWSP a

baad -
™ a ee i. i ~~
ae wet sa ae FP wa

“A\dde 9,9 94 q Noo"" SMO UPangay LISUA
'S]Ulod p.nadn tg GE Wye) loo Pues
Pde) 4 LH « Q950 | OOUFS | Ud MO} POLEYO Y

SBN ms
mm ee ee oe

—_

cr So a rs a ee po Pn 4 hes wt e

*
a toe. ee ng

GO8bEe9¢ — WSLS,
ULG6OvT ‘OPO? UO{4OS | oy yr
00 ° a 18 2U6nba gS Ln,
QTE GRRE KY Br
OLOTPOCOOOO0NV Ts
Asgeq purouays:,
elt ttt” ""our 24 squjod pr
f ‘pet lee s1U}od pseagr
04°13 p29
OL°L3 WL0 i
- — :SUO | LOWOUd
OE ° a sSBULAeS
00° OTS : [2}01GNS
OO ae yee ot 25
Bcozx9 sdsl49 8 1+] 7
gee $/911eh
06 'b3 UOlUQ 8 9 (260 126}
oe 13- 6d): 4
gas
00°€3 pag 3 9 U0sed Teer reo
Ob 03- egp sds(uj beg
ugg -epPaUO $ KOO iT
00'T3 qeup U0} jee Lee
99°03- lUpos 8109 1e1q «Tt
QOL’ t3

ez a9 ‘4eqwnN IVA
153 a OF, s/Mo9 09603 * MEM

V8 sasdxq PY Iu

L- “a DP 6 bb a

(OC), jy eh. HT
",Groceries
"M&S
EST. 1884

Unit 4 Brockhurst Gate
Cotswo'*+h Road
GQSrORT
Hampshire
poiz AFA
02394 211374
VAT NO. GB232128892
www .marksandspencer , com

29 Percy Pig £5 .00
5046163 ROCKY ROAD MB £3 50
29233274 LARGE STANDARD £4.00
29233274 LARGE STANDARD €4.00
Items: 4 Balance to Pay £16.50
Card Tendered | £16.50
«xxPAYMENT APPROVEDs**
xxx CARDHOLDER RECEIPT *«*
Visa Debit
MID: **x42399 «JID: xxxxSdue
CARD: 475142XXXXXX2203 AUTH: 910856
READ: CONTACTLESS PAN SEQ NO:00

AID: A0000000031010
NO CARDHOLDER VERIFICATION
VISA Contact| ess

KK KKK KKK RK ERK KEK AR KK KEK KKK RAK KK RE
x% Join Sparks Today! xx

RK KERR RR EEK BKK AK KKK KK KK EE KA KKK

Fancy the chance to get your shopping
, for free? |
",Groceries
"aie

ee wa

AVert Rd Expros
Any quest Lois bleaon Vie
wae. tooco, con/store> loc vor
VAT Number: OB 220 4302 31

ee eax

i The Gyn Kitchen Chicken Tikka £3.05
Cirid “Ben 300¢
5 resee Sausage Bacon & & & Egg eal
sae :€ 3.
1 Walkers Quavers Cheese Gy ab £1.00
Bag Crisps 34g
vieal Deal . -£0.38
1 Mocoy's Cheddar. & Onion Grab £1.00
Bag Crisps 45g —
Meal Deal = -£0 .48
1 enim Caffe Latte Mr Big £2.65
Carane| 370m) Sos
Heal Deal £1.90
1 Pepsi Max No sugar Cola Bottle £1.55
500m)
Heal Deal | “£0.60
subtotal £12.20
Savi ngs: -£5 40
Promot ane oe -£5,40
TOTAL : £6.80
C al dG Ze eo
ae es rns ae ee ee 42
( ' ubear 3] points earned: 26a
ar ubcard point 6 at zones ecu
MEE stercarc d Ds bit “poooorto04 L010

5410
",Groceries
"BG Eee O)

Alber + Rd a lee visit
Any questions P vet o-locatcr

www. Tesco.com
VAT. Number; GB m0 4302 31

1 br ingles Sour Cream & Ori) on

Crisps. 1889
Sharing Urisp 9.75

Cc et. 85
1 Mecay's Cheddar. & onion Gr ah ¢1 .00

Bag Crisps 459: . ,
eal Deal — - -£0 .40
1 ABER Fudge Brownté Milkshake e1.19
Meal Dealt” 7 72
1 Tesco Sausage Bacon g & Egg £3.00
Triple |
Meal Deal” -£1.23
Sibtotal. —C $8883
Savings: | -£3.10 |
Promotians: “£3.10
TOTAL: a g5 .25
Card e5 29
Cluhcard points earned: ‘
C1 ubcar“a points balance: 211
Mastercard Debit
AID: OO no900000041040
Number : | eave) 10
Pan sequence no: oe OQ
Authorisation code; — -Rp772R
an 96284805

Merchant :

tee eee ca ee a ES ET Khe RE RE et kewe ee ae
Sea ett ne We wee eo
i

",Groceries
"ARay [ORES
SU) YP Sl

rape HAY

Pete

ee COLA 2 al
7 NY COLA 2X 2
23074) NIK UI le din nee

Lage CHEES? GRATED
{10 WAFER _ HIN HAM
B4gqy (HES: GRATED

Ar CRISPS (80 BPK
| 80785 PRISPS CRO 6k
""E GRAPES. 5003
807 993 BANANAS 3 SPK
dae
— 102577

19:19:21 :

Debt t Masel cent TaNAN#5SIO-

Card
Merccvant ID: xx39539
Termiaal ID;

é ex BB
EFT ‘Wo: 3094:

SE

’

Your accaunt will 9a debited.
with the tota? amount * shown:

Goods: 21.37
Total; GBP21.37

SUR :

APPROVED
Autres ‘isation £ Code: Puy

CONTACTLESS

OOD
vet)

Alt: +0090 004101

or ti
Seg,

pak
te had
*

7

Lt ace i

 ,_ o~_ ome Co

TORTILLA WRAP WHOL

TORTTLA WRAP. abi0l
PREM TOILET TISSUE

pF
et

nM 4

(}
(i

(1.
dy

ef?
AG Ve

r, fi

eg rd

wa WB
Ge P

i b

oft

GS fi

4
as ”

KH OP
TE A
().

UG A
96 A
ys b

1/04/24

OC)
",Groceries
