receipt,category
"Mandarin Uriental
66 Knightsbridge
London, SWIX 7LA

Boulud

Check: 969513 Table: 24
Server: Guillaume Guests: 4
Terminal: 96

eg
1 Flower Martint 8.50
2 Stone Go To IPA 12.00

€ 6.00
2 Gis Pouilly Fume 20.00
@ 10.00
1 Tartare Bouchon 5.00
2 Yankee Bouchon 10,00

@ 5.00
1 ADD EXTRA CHEESE 1,00

1 Saison Dupont 8.00
1 carafe Malbec 25.50
4 Bouchon 3 Course 96.00
@ 24.00
1 Cheesecake 0.00
1 Toffee Boucho 0.00
1 Souffle Bouchen 0.00
1 Mandar in&Choco 0.00
Subtotal 186.00
Service Charge 23.25
Tops 209,25

VAT No 684 926086
VAT 20%

",Eating Out
"~

STARBUCKS Store #9476
8021 S. Harlem Ave.

_ Burbank, IL (708) 598- “8523
CHK 787882
05/05/2020 10:19 AM
2660668 Drawer: 1 Reg: 3

Drive Thru

Order
Tl Carm] Frapp 4.25
Southwest Veggie W 5.45
Reload Card 11.00
Subtotal $20.70
Tax 9.75% $0.95
Total $21.65
{Change Due $0.00
Payments
Sbux Card 10.65
XXXXXXXXXXXX6035
Cash 11.00

| ceceseeeeee Check Closed ---------------
| 05/05/2020 10:19 AM

q
SBUX Card x6035 New Balance: 0.35
Card is registered.

4 Join our loyalty program
/ fii C+arhiicks Rewards “twaspoisoned.com
",Eating Out
"LOWDON XXXXXXX
TEL: 020 xxxx xxxx.

THL-1
REG CLERK 17-08-2019 13:09 ogogg

TABLE W:22
1 FRESH ORANGE £3.50
1 TAP WATER
1 PERONT £3.50
1 FALAFEL & HUMUS STARTER
£4.50
1 CHEESE BOREK £5.50
1 LAKB SHISH SHL £6.00
1 CHICKEN BURGER £8.50
7 No
TOTAL £33.50

THANK YOU
genvivl CHARGE NOL ENCLUDED
",Eating Out
"| BELGIAN BAR + KITCHEN

62 Elm Grove Southsea POS 1JG
VAT No. 244867867
4 Company No. 09961928

, Tab Name : 5
| Covers :2
Receipt # : 18495
Printed : Fri, 20 Oct 2023 23:57:06 +0100 [1]

1x 2/3 Frull £5.95
2 x 2/3 Corsendonk Pater £13.00

Pr ertenrems: ace eee es am teehee tenet a ctr en

SALES TOTAL £18.95

4ET SALES £15.79
TOTAL TAX £3.16

TO PAY £18.95

SERVICE CHARGCLS ARE OPTIONAL - ALL
TIPS GO DIRECT TO STAFF! DANKJEWEL!

~ —""s

ee

",Eating Out
"(he) BULLS HEAD

The Bulls Head
High Street
Repton DE85 6GF

01283 704422

Sarver: Niamh 31/10/2021
cashier: NFS

35/1 5:38 PM
udasts: | 140015
Freedom 4 Pt 4.00
viet Coke Pint 2.16
Caips _ 3.90
Macarani 5,50
Olives & Tomatoes 4.00
I3wa 12.56
Tata 32.20
Balance Due 32.20
VAT 4

9).00% Net; 3.33 VAT: 0.67

12.5% Net: 25.07 VAT: 3.13

HFEKEEE

wuw. thebul Ishead.co.uk
VAT No: - 902610370
",Eating Out
"Main Street Restaurant
6332 Business Drive
Suite 528
Palo Alto California 94301
575-1628095

Fri 04/07/2017 11:36 AM

Merchant ID: 9hqjxvufdr
Terminal ID: 11111
Transaction ID: #e6d598ef
Type: CREDIT
PURCHASE
Number : XXXXXXXXXXXX004 1
Entry Mode: Swiped
Card Type: DISCOVER
Response: APPROVED
Approval Code: 819543
Sub Total USD$ 25.23
Tip: 3.78
Total USD$ 29.01

Thanks for supporting
local business!

THANK YOU

",Eating Out
"Defune
34 George Street, Lendon

wie 70
Tel: 020 796 8311
cHKe 3 TBL# 109
Server # 1
OfO4 2019 1 agsis 2

Restaurant
1 Soe Beem Sachi
t Yellow Tait Sesh
1 Fattter Tune sas
1 Scallop Sashtat
1 Eat Sashial
20 6.40 Mise Sap
¥ bgecote
1 Soft Stell Crab
| Pree Tome
26 1.80 Groen Tos
' Shochikbat Sa}
gurotM:
Service Chasor
GucsaticeServer 140000000 --
TOTAL: £179.08

Setea-VAT YAT Rate YAT fat Total
15.00 DOK B20 151.0

THANK YOU
‘A DISCRETIONARY SERVICE CHARGE OF
168 WILL BE ADOED TO 10 YOUR BILL
WaT Nos 235 wat oo

aes. define.

",Eating Out
"ee

oo

Dukes Hotel
st James's Place

Customer Check #420698
Copy #1

Table #10 Covers :2
Open :02/09/2018 21:18

Item Amount

Oracabessa 20.50 oo
Kissy Suzuki 20,50 | a
Martinez Dukes Style 20.50 .
50m) Hibiki 17yr 26 .00 . a ion
Total Items 4 “a
Sub total $ 87.50
Service Charge ¢ 10.94 :
Sub total ¢ 98.44 .
VAT 20% § 14.58 4b
ew eww eee eee : ‘|
Grand Total OB A oat

Room : i ee

Guest:

sane (PMA

ee

Thank you for Visiting
Dukes Hotel ea NA
service Charge Included ~~. rea con

nh
",Eating Out
"/Siase- BE

Nusr-et steakhouse
101 Knightsbridge
» SWIX 7RN

1 Buratta
T Nusret salad

2 Nusret Sushi

2 Prawn Terpura Roll
1 Giant Tomahawk

HeseSsaser
BSssssse

| Kafes
1 Onion Flower

| Herb Crusted Fries
1 Sweet Corn .00
1 Golden Burger 100.00
1 Asado for 2 120.00
2 Nusret Baklava 44,00
4 0BL Patron Coffee 80.00
4 DBL Grey Goose 72.00
6 Turkish Tea 9.00
2 Coca Cola 18.00
1 Virgin Mojito 41.00
4 Red Bull 44.00
1 Eira Still 9.00
2 Coca Cola Light 18.00
‘ 1 Nusret Godfather 18.00
2 1 Elvira 18.00

Subtotal £1,576.00
15% Sevice Charge £236.40

Total Due £1,812.40

VAT No: 323585011

has been added to your bill.

4 discretionary service charge of 15%

Thank You!

",Eating Out
"Table #1

Fees esvesertrasantsasessavensersataartsest
TWININGS TEA 1.80
CUSTARD TART 1.0
CANNOLE 1.00
cores entessancsasevassassreereassceseetes
Sub Total 4,40
Tax suo 0.74

Cash
7:15 AM 20/05/2017 ANA
TOP FLOOR
THANKS - POP TH AGAIN SOON
WE ARE ALWAYS OPEN 24-7
ERAYED THE SERVICE., .
TIPS WELCOMED
VAT NO 137 6073 11

",Eating Out
