receipt,category
"—

0
1

( A C B

P! -}( ARRTAY ‘\

[ N t s
v

)

LON-Welling
Enter VAT NO. GB3%0396892
“Ntey sUrvey: 1idl.co.uk/haveyoursay
YOUu can win £100 of Lidl Vouchers.

Seeded Logf

Jan Filled Doughnut

Al Butter Croissant3d x g0 55
Kitchen C)eaner R
Fairy Liquidoriginal
AntibacWipe Original

Antibac Wipes Citrus
Grgnulated Sugar

White Facial Tissue 2 x £1.3%

OCOWEMN W
SCoOoOCOCODIRAGW

>rwpr>>>PPITITIETETEZE3m

15 Free Range Eggs ;
Soya Drink Unsweeten 5
Knorr Aromat 69
Cottage Cheess 49
XXL 4 Beef RumpSteak 99
Cherry Tomatoes 0082402 19
Cumber-land Sausages 79
Washed Bahy Spinach .95
Bananas 0080008 2 x £0.78 56
Ginger 0082700 42
0.258 kg @ £ 5.49/ky
HOG Seahass 4.99 A
TOTAL 42.96
CARD 42.96
xCUSTOMER COPY« - PLEASE RETAIN RECEIPT
Date: 28/11/23 Time: 09:.51:20
MID: xxx75425 TTD: xxxx5198
TRNS NO: UK159882447863332231 i
Mastercard Awkxax s kkxxxD119
A0000000041010 .
TCC SALE

Amount £42.96

PIN Verified o

""OPROVED AUTH CODE 238%%6
CASE DEBIT ACCOUNT WITH TOTAL SHOWN

VE SALES & VAT &
",Groceries
"= ::i}::“\,\g ‘ “‘ !;;;:-»\ \ \

i WY&SF LTD T/A COSTA NN
VAT NO: RECEIPT: 143650 R e
15\ 7865 26/10/2023 15:22 LAl

____________ R . “3\\“k‘$\

\ TAKE OUT T
Cortado TA £3.15V R
c . | ' S RN
appuccino MED TA £3.80V A
Lemon Curd Tart TA £2.60V ol
Items:3 Total:£9.55

Card:£9.5h5
Change:£0.00
RATE GOODS VAT*

0.00% 2.60 0.00
20.00% 5.80 1.15

You were served hy: Sukhmani

****************************************
Card No : 533780xxxxx33603455%
Beans B/Fud
Reans C/Fwd

R/Vouchers Balance 2
[1, 10 January 2024]
[2. 21 January 2024)

Thank you for using your Costa Card
****t*****#********#****#*************#*
Buck inghan Avenue, Slough Trading Estate,

S1ough, Berkshire, SL1 4QA

«oxxxTHANK YOU FOR YOUR CUSTOM#*xx%

ORPENING HOURS: MON-FRI: 07:00-18:00

CAT: 08:00-18:00 SUN: 09:00-17:00
xxkxdxxTELEPHONE TRCH$kk¥4*
| Tell us about your visit
Text 7447 t0 07481 342445

or visit www,feedbacktocosta.co.uk

cep website for T&Cs

I

",Eating Out
"Lo Yhaneo
le) g Lic.

- Wew, ltlldcdu (Qn

Lo win
L0001 "" A
how we dig” L(,ddyK o

/\ K<; ﬁ?{ l ) //{TEX
~_ A

ASDA STORES L ID-
ASDA . OM
ANA GFR TIAN DAL

lELEPHONgL 01 53 524017
ST. 04159 op. 009033 TE. 33 -
POTATOLS 505085426314 £1. 70D
SPTNACH 505478151225 £1.200
WUSHROOMS 000002302633 0. 790
SHEET POTATO 505085451478 £0. 89D
BROWN ONLONS 505085451490 £0. 950
SALAD KIT 505717285817 £1.150
SALAD BAG 505478158074 £0.80D
TOMATOES 506308929539 £1.00D
CABBAGE 026760400123 £1.230
PERSIMMON  505141389375L  £1.29D
PERSIMMON  505141389375L  £1.29D
SALAD BOWL. 505717265898l . £2.00D
SALAD BOWL ~ 50571723104iL.  £2.00D
COOKED MEAT 509717212209 £2.00D
CRACKERBREAD 501026500080 £2.00D
CHOCOLATE 761303990571 £1.50V
SAGE. 000002114270 £1.00D
RATISINS 000002721208 £1.10V
PEANUTS 000002721207 £1.10V
BITE 505085453987 £1.100
YOGURT 402550027743 £2.50D
EGGS 000002040846 £1.99D
MILK 500018102405 £2.30D
LOYD SAUCE 500035416479 £1.79D
LOYD SAUCE 500035416479 £1.790
SLICED CHSE 5054070150291 £2.650
SLICED CHSE 5054070150291 £2.65D
BISCUITS 301776036339 £1.25V
REDUCED TO CLEAR {AS £2.00
CRISPS 500032801330 £1.00V
TOWEL 505717232242 £3.00V
TOMEL 505717232242 £3.00V
WOMENS TRS 505919517037 £8. 00V
HOMENS TRS 905919543743 -Gy
WOMENS BRAS 365919248507 Ld 00V
WOMENS 1ES 505919578145 $00 .00V

WOMENS COATs 50591941587/
Asda Rewards

RTIBUY SAVL MGS

Cheese 2f£4.9 290L
¢alad bowls 2£3.50 16/L
Produce, 21£2 17l

Yo SAVED £1

-£0.80
-£0.50

-£0.93

£1.898

OTAL £107.05
casH  £110.00
CHANCE (UE £2.9
ffEMb SO\D Jb
6019 A

A Illill i \\\‘ \\\

s
",Groceries
"—— —

T"""" ..
= AT,

Slough - Bath R
a oad
VAT NO. G8350396892

Azple Rake

£
Coupon Plu 1.29 A
Eneray D%?gkpé$:sg?2igg £0.42 o
Flower Small 0407167 | °.30 B
Froz Vanilla Cones 3998
~taskaPollockFillets 1.958
Berry Macaron Mix 249 A
ses? Steak Mince 10% 1.99 B
Multipack Crisps %%?5 A
fSaby Plum Tomatoes 0'.89%\
Mattress Prot Single 0332530 4.99 B
Coughnut Peaches 0.99 A
Acgle & Mango Juice 1.35 B
“anint Roll 7 x £0.32 2.24 A
incient Grain Roll 10x £0.32 3.20 A
Org F1 Bananas 1.19 A
ironing Board 0383783 29.99 B
TOTAL 68.50
CARD 68.50
CUSTOMER COPYx - PLEASE RETAIN RECEIPT
Jate: 18/09/23 Time: 10:50:18
MID: xxx12024 TID: *xxx2138
TRNS NO: UK203373088316261231
Visa DEBIT xx KKK xKKRAR*DG12
A00QC000031010
Contactless SALE

Amount £68.90 rolder Device

verified by Cardholder Uevic

AggROVED AUTH CODE 009939
PLEASE DEBIT ACCOUNT WITH TOTAL SHOWN

— -
—— oy R GEm e SwS v
pu T e N Wi B R
- awe a3 SO - -— A = ~
-— o Oum W W
~v-
— o ——

29

TOTAL DISCOUNT 1.9
VAT RATF SALES £ \(J]MO O@
Ai0Y 16.09 .0
n 20 % 5741 |

-v""'“""““
p—y ™
- -

You saved s
¢y 29 with idl Epgf"" :

B ——

son v AT
",Groceries
"~H Ll m@( K\

LT T [7f,
Fratton Extra
Any questions please Vigjy
WWW . tesco . com/store-10Catgr
VAT Number: GBR 220 4302 34

1 Caparelli Italian Pinot Grigio £4.85
75c] '

1 g$ps| Max No Sugar Cola Bottle £1.79

1 Tesco Lemon And Lime Zero 2 £0.80
Litre

1 Itsu Chicken Big Bac 180¢ £3.79

1 Tampax Super Plus Tampons With £2.00
Applicator 20 Pack

1 Tampax Super Tampons With £2.00
Applicator 20 Pack
TOTAL £i1i5.19
Card e19.12
Clubcard points earned: 30
Clubcard points balarice: 88
Visa Credit
AID: A0000000031010
Nunber : Kxex xR R kXXX xBH719
Pan seguence No: 00
Authorisation cade: 811233
Merchant: 26284805

— —— —— - = — —
—— wmm —_— — ——
e e e et -t e —— T ~ e — . — —

A chance 10 Win @ £1000 Tesco gift
and collect 29 Clubcard poynfﬁ_cdrd

sit Wwaw. tescoviews. cof t's & ¢ & apply

— e S S n
- -
--——-.-_-——-'_
-

— —
_-a.-—.-.-—-
_——-—--——-——“""
— vy S

=
— — -
- S w—

— wAy Snn
s wnn o
— iy -
"" ,,-.n‘s--——-”—- haind
- GEm S —
",Groceries
"[l

} . e
URE Lham Tl Wi by,
\‘lw “\ (X X ARSI}

[J
a.‘
i f

~‘~\\. f,/\
NG
I Ve
gl h; 0y

Gl

')

SOA STgRp s o
A\tl‘_t\ ‘\lrUA ([J)(,)\lﬂ'V '
MANALLIR | AN

)
M IHA By, Uy g0
o e £ ool
S l‘tj‘,}‘,mscm, ‘1—:190
sl Uy 6854731* I, Q, ol
WA 6,201813\!204 M T
HAL Ry 054781 1250 b %D
] oo B1qp, 28k Ly ]
"": »{*l S 5 D0h 70 M0qa 3 ;51 70D
A s it
Al oL S 202‘-}1 /ﬁgsuﬂ £1-g5 )
AVOCAS 290002503 E“'?P‘v
""""?‘fﬁcu osaoaszssas, £71{:i{"",
ToMATOLS ¥ 200085451 g by Y
SOWN. OnLLONS 20293190 1 g £y oo
Bko A 50571 25211 g1 e
CFRF""IES 305244980%3 £l o2\
ot CREAM 162?2}0333&36 ; 1:?811
BISCULT S Z)ggﬁ?,msmg £4'103
g 30947816, 8 £3-20
CLEQKEN 5050854342 £1-00D
CHILPS 20508543, 1 €15V
(RLSPS BA10076q 01 £1-2v
SRISPS PASo 8410075470304— €125
OLD EL hAS 20104785473 £1-55v
SWELTS 508;;%%3}2{3 £ 2
e ETS 0 5
SWEETS a005 a3 go-;?,y
SWEETS 200016y g8 eI
SHACK 5054781933)2 LoV
ST L
s i L
BLSc) 0 03605(143 2.00D
T 50293210&34 E 950
Y OGURES 20 52904577 1.230
ROk 5039556071 8 EOAOV'
SWEETS 30 720490 £0°500
2 S 20571 £0.2 0
JWEETS 1720190 50
WE 5057 9 e
E-{?Hcmg SooT LT £0.
TECRE 3800021""3“33A$ ‘“‘“991-533
ft’;s 10 CLEAR 8913170 gl""gSV
COOKED HER 3026438048 300V
’ ER 502 794656 E_ - oD
BURGE S 00015 15 £1.5
CRINSB\?F 30099082'533;40 £2 -?‘8‘6
CHoc GUM 00005 173 £1.9
‘,’u' 0 * 250 p 0
wa e S0 50,700
AL it 0.
M -URIE 50 82035 -
Kf e 4 °0.70D
{-1<AN O0DLE 5000 82035 0.
0T N LE 0011 0354 £0.70D
o1 .“Joggtt 2833%1%3%33 51 ooy
0T NO 002 0571 £1.300
01 NOODLE 00899 76 30D
POT N KE 7613 00204 £1.
ErotorATE o e
¢ A 8920 846 1.260
L MLE 713 2040 £1.
EL MLFA (8)0000135 ,539L £2. 95D
FIMLEA 505137027‘%22[ £ 53‘3
i A 0275641 4.0
~GGS AU CHOC 5024070%0174 ég 500
PAJ-N. 4781 1912 ""y
CHEFSE 42601 41 2
R 2o
TR DRINK 4201118 1017 K0,
ﬁYRAN BRlNK 4 2681184 QZOO
AYRAN RINK £1¢q
AVREN DRIN 5
Azgg”rzeggﬁds oY SAVINGS
hado Rowtr 1 1P 20, ""£0_gq
sda R ULT] 335{ -£0'6p
M 4.9 1% 1 .
e 21645 NGS £ g4
3 oo AVED £2 68
3,ioducﬁa,;r18 GA 'mmh £:101.:.>.3
x?'VOU ' e 2y
TOTAL [P U().l.:)a

“rc 1 0 N ""
 NO. /Idl )()(}!014(;41195(0
f N \ )0 ,‘ 4B
i A i,
oo it Lol (NTEIN
V;i;d I)L”v“‘ ' {'(:E CeAaw
",Groceries
"slough - Bath Rpad

VAT NO. GB3503965392 ¢

Ancient Grain Roll 12x 50.32 3.84 A
Coupon Plus bakery Meyard -0.32
Californian Walnuts ar 2.09 A
15% off Alesto -0.31
Bellona Wafe Hazelny 1.65 g
hoc .85 B

Boayspray Energize
Sﬁandard White Toile
Milk Nut Chocolate 2 X £0 75

0
7

Cornf) 1'00 A
orntlour 5.
Strawberry Cones e 1.95 B
Froz Vanilla Cories 1.95 B
ChocCoated Peanuts 0.95 B
ﬁanuccino Capsules 3-18 2
ultipack Crisps 1.7
Strawb Greek Ygg #0808 1.69 A
Latte Macchiato 0.65 A
Pain aux Raisin 0.65 A
Choc Haze! Doughnut 0.69 A
TOTAL 35.26
CARD 35.26
*xCUSTOMER COPYx - PLEASE RETAIN RECEIPT
Date: 16/10/23 Time: 11:10:19
MID: »xx12024 TID: »xxxx2731
TRNS NO- UK203374103891289231

Visa DEBIT KEXXKEKN KA * T2
A0000000031010

Contactless SALE

Amount £35.26

Verified by Cardholder Device

APPROVED AUTH CODE 006629
PLEASE DEBIT ACCOUNT WITH TOTAL SHOWN

-~ e - —--——w-———:._—-q--.-.n-—-—--——--u—»—_-__
lnad LIPS
-
B TR
-

TOTAL DISCOUNT 0.88

VAT RATE SALES € VAT ¢

A 0% 17.17 0

B 20 % 18.09 0
3.02

! You saved i

—--\-u--w--—n—-.nu-v-v.""""——v\-..,_._“‘
L]
....
-~
—
]
-
Ny

..""n\
",Groceries
"h, N?f""

oth
I)Ul {o mut 0 a/ J

'”ll \

Yin| van Wln H“] N

s
! l‘“\klt_ ¢

VA'- Nﬂ Iln(ﬂ]{‘j\v! N I\I !
vy v Sy

L L ¢

| ‘ 10 uUndao d . )
\ Reer “'\’lfd 'l'llmn Plus '(N Jl i r)
o ' dllt( "")x P)U[]'(_;;ep]“x ((:w”dth “‘,:’;.
\ ¢ ﬂl Du’l(;]h(.: ) f:d / 37{‘;
, | tt y] ) , ou
Y| L i et mcednugcgllus ! ( 626
de ! Swel—_t C Cgu‘)on P ’ r(,vi ]"") qu b
s \ ¢ 2”] C”SDSUZ 1d 2 79
‘ zen PR g ok pL
Smt. 10X ¢ Steak 2.2 9
. ""Oked st,.gf‘ﬁon Plys rewd’ (Z)CJZA
o q .
. . Che”]'ox CQUDgn gCOrJ T Z: 0.23
830083 lus 1 205A
| Grang § Pa COUDOn Plus revs’™ 0.2]
V"" N Es Ox CO d 1'95 ’
v Presgq cduPon piys rewal 65 .21
) Sure ¢ 0% Copcmato 3 x £ g9 B
i € Brj u“g[: P]us rewal 0.20
! It An’: xac;.:upg?qll_ﬁ:ls reward 1’3928
l""\‘ NOCE]]ar Col]‘pﬂn Plus reward 'jg?zg
. 0X ¢ A
Wives huﬁmcplus reward 1_'.(9)920
| Eadbul]’s(l)xlrcogg‘rJr' F]us renard 1 %92%
""ing Tomafc:oupon Plus revard 1.64 8
- . 0.688 kg o, 0082465
RS R 105 o £2.33/kg -0.17
g AN “Free Rgcfg"""""" Plus resar’ 1.6 9
e Eggs -0.1
cutt 0N \ 0X Coy rd
D \\‘ Y\ o Banans gy "" oot
N \ Cmnb;?fycaumn Plus reward 1.49 B
‘\ \ \ + 10X COUDor]1 Plus rewald 0.13
\ Choc. yater po P us re 1, 491{}
\ - J
N ss 10X Coupon Plus reward 29 A
e Kin on Fries I 0.14
K Tend 10X Coupon Plus reward ]'3‘5 A
' ' ‘ erstem Broccoli 0082892 '0 14
gﬂm.ﬂ l “m\ e Sucet £xey prn Plus resard 1,29 A
b sy Peelers 008008 :
PSRy 10X Coupon Plus reward -0.13
-.;.a;:\wef:‘ Kid Yogurt Fruit Typ 1. 2519
// = 10% Coupon Plus reward -0.
FlexiloopCarrier Bagd x £0.30 1.20 B
10X Coupon Plus reward -0.12
Italian Linguine 1.19 A
10X Coupon Plus reward -0.12
A1l Purpose Cloth 1.05 B
10X Coupon Plus reward -0.11
Plain Brioche Buns 1.05 A
10% Couponi Plus reward -0.11
Albal Spoo Raspberry 0.95 B
10X Coupon Plus reward -0.10
Albal Cond Raspberry 0.95 B
10% Coupon Plus reward -0.10
Mashed Potato 0.95 A
10% Coupon Plus reward -0.10
Echalion Shallots 0002834 0.99 4
10% Coupon Plus reward -0.10
Chestnut Mushrooms 0083006 0.95 A
wx Coupon P1uS Teward 010
Hourio 0.88
wx nggon Plus rewarg ~09.03
ananas 00 0.
B 10% Coupon P1US Tewarg -3803
1aco Mixed Bed o oS reNarg 0.72 4
uree
Tonato P17 pon PIUS Tekarg 013902
sh P puddings 0 a
Froz 10% Coupon P1us Treward -0.05
te 0.4
enne R1gd re 1A
i 10% Cogpon Plus reward 0.4
. : 0.34
chillt Con 2 o Plus rewarg A
0% G 0 04
01Nl % 4‘
CARD P 2.4
pW LA.J[. Rf IMN RHHM

ML JMFR / .
patic: 93012 T:Tﬁ. 9103
",Groceries
"i
bt o
T

“laz Tech Backpac

Style: 712076 - ~18.60
“slour: Black {48)

Size: 000 (COO)

T e - bt oty o e e - _———
- . — P -

“untactless : Visa DEBIT
: 481891xxxxxx(3900
Auth Code : 007659
ﬂerchant ID : »xx09/23
erminal ID : »xxx0014

AMOUNT £18 . OO

Please debit my account as shown '

))))

No cardholder verificatior,
Please retain for your records

i

1 8

}

I
. wWriwaot ir ‘e Feare. - .

We are heppy to offae - BRCEC v <
credit note for any unwanted i ter-
returned within 28 days of purcriase. T <r
must be returned in their origina
packaging, in perfect saleable ccrdt
and with a receipt.

N -

-Ca

Refunds will only be offered in accoras
with your statutory rights (swhich rems'
unaffected) .

For hygiene reasons, underwear, hosiery
swimwear, pierced jeweliery and beauty
products cannot be returned. Footwear -
cannot be returned if 1t nas been wor

ouTdoors (
‘.""lté
Please retain the receipt as proof of Yo
purchase. ‘%’
Fearless? Scar Nere. Limitlaess caraoss éf
Possibilities await. ¢
04/09/23 19:14 680103 0816 ON=: -
A x - r: - — &‘! . .’J‘}«
(Sl prae L
n- n PN Tt N
==ty =ty |

P [ A

",Personal Upkeep
"Bluewater Park (209
TEL 0333 0055 209

Wed 03 Jan 2024 17:38:32 | 17 1665
321-910-019-026175 1 : i
B]aqk Umbrella He0 /
T12~bﬁ4~162-005530 1 £30.00
Navy Geo Trousers
TOTAL SALE £42 .00
Visa Debit £42.00
CHANGE £0,00

Visa Debit SALE
"")

Card No: sdskkkkrdkssk7303 Contact less
AID: AQOOOOOQG31GT0 APP PSN: QOO0

Auth Code: 650611
MID: #¥¥x5952
TID: **44418]

PLEASE DEBIT HY ACCCIRT BITH .00
1 O

:
¥ SERVED YOU TODAY
PLEASE HOLD ONTO RECEIPTS

CUSTOMER COPY
",Personal Upkeep
