receipt,category
". - : “ ‘, ‘
i4 . \ ary
1 oo , ' wl a
‘ ‘ es Tae
ro . at
i] ; ' ‘ wae 4;
t vo Ae SL '
: . ihoy Vae
Ai \ Var gla oy
an vet Ea
4 ma Ne et
wit Viet 1: YO tee
‘ A :
Ke, Meade ag hy bovay Op
‘ Pia ak CLR aee ae
t ‘ Ny ae i how vant wl ft
gy corfu) Ne
“ete ee Ne,
‘ , Ane ‘ afeah ‘ ve
ce ee Ca t yt” ar)
‘ ' th ——
WT

oP

West Quay Shopping Centre, Southampton #2034
Unit SU52 West Quay Shopping Centre
southampton, HAM SO15 1 QD
Telephone: 0238 0754 966
VAT No 880982284

29/01/24 2:22PM Reg 002 Trans 3989
Helped by 2010914

432006 NBC VDAY SLEEPER 14.00 $
Subtota | GBP 11.67
VAT GBP 2.33

TOTAL GBP 14.00

ce

FN A Rl EAT Mal OBE ee Bl CR MTT Aa aS LA RL eh oY WO ST ES A El DASE EE OS OES A ak RS Ad i NS oP ee

Cash Tender GBP 15.00
Cash Tender (CHANGE DUE) GAP -1.00

LFS TOA AE TAT AOD A CAD AOE Dal SN a ep Be seit eine es one

Please Retain for Your Records

0

Item Sold: 1
Item Returned: 0

Bonus Club Rewards Number: 926258228

nk you beary much!
vt BUTLDABEAR.CO. UK

vi

SAN fe

OE

",Entertainment
"a, ee wales. aN Fy
a ee \ MB
(( i Bh weigh Ps
SON ica 4 (gee

Se ni

Cex GOSPORT
93 High Street,
Gosport
Hampshire
PO12 1DS

webuy.com/support
Vat No: 134 3884 07
04/10/2023 15:33:09

OrderNo — : GZ362663

MCOUOL TUN ALUM TTY TTT) AQUI WIC
Staff Id » 54947
Customer ID: Unspecified

Sales Goods Deiails

Simpsons Game, The
(Wii Software, UK) 1@ £6.00

Total Item Count: 2

Payment Deiails

ee ee em ee tel a eg teh OD aie ia WS Mie dS Ome Sind Geeks eo aed tes On,
et ee Le ke ee
— re a ee ee oe es
=n wm

Payment Due £6.00
Cash Payment ee
eee £10.00
Cash to Customer Te
capemeen arate £4.00

heheh Te at ns
ay
cay wat Ns Veh Ke Atte Rede VERON TOR OE MT Reese

BA ga eeR ey ln
",Entertainment
"LA A\ PS NPS)
SUG: x mu

Haribo Store
Portsmouth
07391060054
shop. -Qunwharfquays®haribo. con
VAT Reg: GB 181493353

I Ea HAPPY CHERRIES A)
1 Ea Jelly Beans l2x140g

TOTAL

Bank card

VAT % EX VAT VAT
20.00 4.37 0.88

ws CN ae wane tee Wea Wels ANT MAT Wh 2ae ews wet We eed Le ee et

TOTAL. 4.37 0.88

veller; 7204 - Molly M
Date ; 02 January 2024 19:23:59
POS ; 70203 Sales Receipt: 16718

Thank you for
shopping at
Haribo

— DB
RO ©
O71 ©

i
ine]
Gi

9.209

Total

9.25

Pad Cree emg med thee oes

9.29

I toe men
‘e :

it

vi ‘\
a
i an _
",Eating Out
"PIE ECTAACCC  e ciotek dedk otk ok ROOK RIK

portsmouth ""nat Bubble Citea Ltd
lax ID 329865751

MMOL LLoci restr rc eceener erent ret. set:
Date: 02.01.2024 15:35

_ Order No. 64—

Name aty ‘Amount

Ce

ho <n aw sm lo ed ee

Dirty Milk Tea ‘Regular 4.10
100% Sugar

Regular Ice
Tapioca
Watermelon Milk Tea Regular 4.20
100% Sugar

Regular Ice

!

ee ee ee ee ee ee

Subtotal: 8.90
Como discount ~52 81% — «4,70
TOTAL DUES 4,20

Hojo 4.20 |

card Como discount: 4 : |

ts before operation |

points !

| Jota points 4.7 |

Spent?

a © ,
Jf
er a '
eH oo f -
ie eed - :

",Eating Out
"|
HARIBO |
JUC-JUSULD
Heribo Store
Portsmouth
07391060054
Shop . gunwharfquays®haribo .con
VAT Reg: GB 181493353
1 Ea HAPPY CHERRIES 59 4.00
I Ea Jelly Beans l2x1d0g 1.25
TOTAL. 0.25
Bank card 9.25
VAT % EX VAT VAT Total
20).00 437 0), 83 3.29
TOTAL. 437 0.88 0.29
veller; 7204 - Molly Mo” 7
Date ; 02 January 2024 19:23:59
POS : 70203 Sales Receipt: 16718 os
Tharik You Tor Log
shooning at a
nar ive
",Eating Out
"ee ta

ae

Subway #36069-0 phone 023 92 583364 |
_ 73 High bStreet
_ Gosport, Hampshire, Po12 1DR
Served by: 11 01/11/2023 14:31:30
Term [D-Trans# 1/A-223637

ner
ee,
a

'
4

,

'

=
—
—__

Customer Receipt
VAT No. 436277774

Qty Size Item Price
1 12"" Meatball] Sub a
“Fresh Value Meal (UK-TOM 2.30
~ «2102 Fountain Drink
- -Crisps
Total (fake Out) 9.79
_/Acredit Card 9.79
Change 0.00
Tax Info:
VAT (12.5%) 1.09
Total-Exc!-VAT 8.70
Purchase ttt” :
VISA
Visa Debit contactless
XKXXXXXXXXXK 7316
01.41.2023 14:31:24
Trm-Td: 31560019
AID: A0000000031010
Trx. Seq-Cnt: 967363
Trx. Ref-No: 33061296090
Auth, Code: 771463
Ara-Id: 999100022
lui :i EFT GBP: 9.79

Verified by Device

we eee

CUSTOMER COPY

ase LD: 0099 1000229308 1 24a yg;
Host Greer © .
» for more? Let us KNOW fi
r for more 2 KW We
Hn hy taking our 1 minute ¢
yw) suo T7stens 60-1 andr
supp 12 offer to use With yoy
ur chase.
pe ee oe

Wid /
Urvey at | /
ECU lye a +y

l tay!
",Eating Out
": brow ads §
ee “eS aay oat ita
a Bde °
ee.
pated a
a 4

COR OUND REECE O AE FON OPS 0p) epeennnen-ysm ¢

BELGIAN BAR « > Ki CHE N

62 Elm Grove. Southsea POS 1JG
VAT No. 24486786 °
Company No. 09961928

Tab Name: 5
‘Covers : 2
Receipt # : 18920
Printed . Wed, 01 Nov 9023 23:01:15 +0000 [1]

Ax 2/3 Tete De Mort Rouge £27.60

, SALES TOTAL £27.60

enenenarenrenceneens, ' manne ner RRP A AL A SOE POOR
Reena ne OAD TP APP IILT LL LLIN ¢

NET SALES £23.00
TOTAL TAX £4.60

een

TO PAY £27.60

SERVICE CHARGES ARE OPTIONAL - ALL
TIPS GO DIRECT TO STAFF! DANKJEWEL

we. eee
Te oe anh ss atiete oe EN :
ae a as aa ""

oe
",Eating Out
"ee

Tell us od cB ~ did

and get a delicious at a your next
Visi (offer valid for age 16+):
Cio ty www. med foodfor thoughts. om
and enter this 12 digit code:

A Keb he tae 4 /
ACCU JE
‘Offer T&Cs apply:
http: //inc-ds. uk/fft-tos
Thank you for eating at
leDonald’s
Unit 3 The Poxpey Centre
Por tscouth
P04 88
Phone: 02332 839715
E-nail: 0125 /€ux, ved. coo
TAX INVOICE
REG 25 Date: 02-11-2023 Time: 06:16:35

Store 1757
1 EVH Mighty Ketchup 5.20
1 Hash Brown 0.00
1 Caramel *Hot Choc+ 1.44
1 Ho Thanks , 0.00
IN Total Cine] VAT) 6.69
360000041910
Ucid!] MASTERCARD
SIGBSBXXXXAX (221

PAN SEQ: 00
02/11/2023 06: 1-01

036688 1129/25
SALE
CONTACTLESS
Total: GBPA. 69

NO CARDHOLDER VERIFICATION
AUTH CODE: 026349
MID: **88400
VAT Number 926750801
TAX% == AMOUNT TAX
INCL. TAX: 20, 00% §. 69 1.12
Vcllonalds restaurants Lisi ted
A franchisee of Hollonald’s
Restaurants Linited
O12 7AX. eed, co
Allergen and ingredient inforcation
is available on tha HcDonald’s
vebsite: iar, cedenalds, co. o(/nutri tien
",Eating Out
"Great Salterns

East Road

PO3 6QB
MOAOrderPad 2179
Julie 05 Oct 2023 21:45
Table: 36 c: 5 ORDER #: 6033
447889632298

IS ALLERGIC: NO

2 PeroniNastroAzz = 11.90

1 RkrdlgWi ldBeries = 5,40

3 83 Combo+ = 55.47

| Lemon B11zz Sund = 6.99

HRV 40% Mains628289+ = -22.19

Product Group Summary i (i‘<set~*#
Food And Drink 57.51

20% VAT Net 47.97

20% VAT 9.60

20% VAT Total 57 .5f

Total «£57.57

ne ee
aw en

Thank you for visiting us today !
We would love to hear your thoughts at
www guestsurvey .co.uk/harvester

Tel 02392 651051
vAT 282 153 895 20, 02

",Eating Out
"cet re to ee a ee

Wegthy ey dee Path

Wt Wyre gee

| hA tie yrat meer,

Host: ZKIOSK1

K5149
Order Type: Kiosk ~ OL
Spicy CHICKEN COMBO
Spicy Chicken
Medium Fries
MD B Drink

4 Po Chicken Nuggets
Sweet Chili Dipping

Kiosk - DI Total

F} ; ‘
hee
it é

¢ k G y * 4 4

Kiosk Pmt

VAT RATE

90.00% BASE: 8.32 VAT: 1.66
sok

: i £ .
“ a, “hs
f oo” ‘

1,98

9,98

£9.98

I agree to pay above total] amount
according to the card issuer agreement.
Retain this copy for your records.
THANK YOU FOR VISITING WENDY'S
PLEASE TELL US ABOUT

YOUR VISIT ON

a ea aemem Pei pemmaameianem.
",Eating Out
"rugs (orig i
fe Et ieee I
. tS ad Batre Ry! Tere is
Ase Gat
: 7H nd a
Ra Shy, M
1a one 2 Pee)
ots ey «)

Sy ck POY Ne ee no eK es ee eae

RPO ARLE VR

BELGIAN BAR + KITCHEN

62 Elm Grove. Southsea PO5 iJG
VAT No. 244867867
Company No. 09961928

Tab Name: 5
Covers :2

Receipt # : 18306
Printed - Sat. 14 Ort 2023 23:29:04 28168 [1]

£7.50
£6.40
£6.40

1x 2/3 Kwak
tx Pint Huis Wit
1x Half Westmalle Dubbel

Fo Des PEREGO Ee Crear Rea oe he

TRON AAD DNA Ce PE OVERLOAD CORI LY PT, DS GTEC SO NE FOR Te  e

SALES TOTAL. £20.30

PE ee ee OTe el

Pt ee) ee ee ee hae Perr. eT oth A eae Pe eee Tt se od, |

(te ARAPMV OA EVEN I Oe

NEP Sarees £16 9°
TOTAL JACK L$ $8

Se oe ae sow,

eee aay CER eS OEE oP ce a ie are ot
ew ant EV hn tt AOA AE IT I

TO PAY 420.39

A Pete ee Be ontann 2 RO OE PAS ITS Meena ~
RPE a1 gE REe eae om . core be
a 2 Sees

*
a

SERVICE CHARLTLS: AKL OP | ONAL At
. rr rr oy ony | Cr ce , .

-
",Eating Out
"oe eae 0H I lak .
te te ge My
ac, We Mee nd el oe bay wr Ar Wie aid te
, gh i? ane) yrs wu iat
4“ ee ceage a y tise “h »
parts 4 f , cs rene | er. : Ve ; ithe *
ee ee a i A bi fd pan, tae
‘ as a4 yet Maras, ob a iy ir i. ae bye
ag a \ ( tyes vn Washer Mae. nm ph “y, any
if "" ot we My ip
\ Xt ware’ AHAN M 44 a as & i.

\ at we it Wie
unt te RCA

ii ne We

Unit WMI7, Wast Quay
Southampton
S015 (Gr
VAT No: 382 1613 @9

CHKR Beer TEL 12°R
Neel abhra tH 3754
14/10/2025 | 19: 94826 533 GUESTS 3

Soe eee a ett i eer ine ra ae

Bundles
1 Full Flavour Fix 13.50

Boneless 8 Pieces
Garlic Parmesan
Brazilian Citrus Pap

Tenders Pieces 3
Louisiana Rub

Fries (Regular)

Lan Pap
HM Dip (Ragular)
Ranch Dip (Ragular)
Freestyle
2@ 3.80
Freestyle

SUBTOTAL: 2
TOT AL. = £21.18

Chip & Pin [6@55] 21.10

Salas-VAT VAT Rate VAT Amt Total
17.58 2). 00% 3.52 21.10

nae Mt wee ee
eating Mt te See ee SCTE Cote CL ot Col OS ts aan
Le a ne are
So ery

CLOSED
NANG ee I 19:48:02

TT Petecdalces Paty

",Eating Out
"pe image
cleo: i

C.A>

Tell us how se did.
anc get a del tctaus deal an your SEs""
visit(offer valid for ase tess
Go to www. med foodfar thoughts. com
and enter this $2 digit cade:

UVR)
Offer TEs aeply:
http: //mo-ds. ele) fFt-tes

Therk you for eating at
Kforald's

Unit 3 The Pocrey Centre
Fortsouih

Pa
Phare: esis
E-rail: (B%aK ccl en
TRA ISOC:
REG 2¢ fate: 18-10-2023 Time: 24h: 3
Store 16!
1 ERG Crispy B30 Salth 6.44
1 x9 Mussets 43
1 bre Fries QD
! brg Serite Zero LS
NO Fee
t Sweet & Sour Bip L@
i Curry Bip 0.0
iM Total (incl VAI) 23

AOODODOOL 1610
DEBIT KASTERCAD
Sac COK T7271

Pa SEQ: CB
BMG 8 = 3:22:31
Yar LTE

aa 7 fotal: (P17
en Fy NG CRADLE PRPC IO
HID: »s62°m ~

VAT furber S75 7S021 —
ath ;
(NL. TA: OR 127B 8

Hkralds restarants linited
A franchisee of ttinald’s
Pestarents Lisited
All ‘oe
oe ad ingredient Inforzatign
i ile 0 the Herald's
Ne Soa todhralds Co.Knutrit: wm

",Eating Out
"rn) rr rc) es ee
ia, Ue - /, , ' :
CT re
' rat ;

""4
fe ’ J i

Hey thas | 7 | | . i ;
ae ed)
re I
ALDI STORES
Mumby Road
GOSPORT
AA Ags Cats ir>
69542 Mi Tk Soya Unsweet 0.50 A
49613 MILK SEMT 4 pT 1.45 A
= a £C ae fF 4.35
Card Sales GBP 1.95
A 00.0% Nes 1.95 Vat 0.00
«843 ¢ Net L.$

? 7817055/012/805 17.01.24 10:21

Thank you for shopping at
Britain's Best Value Supermarket
#A| diEverydayAmazing
Every day, seven young people
Aged 13-24 are diagnosed with
cancer. If you can, support
Teenage Cancer Trust by
texting ALDI3 to 70490 to donate £3.

0 ae mane fare A gh: NAD i ee CA RD Pee! wens beet es met PT a AR Te be vee kL

ei ee et De ee

Texts cest the donation amount olus
one standard network rate message.
Hhen you text, Teenage Cancer Trust
ay use your telephone nuiber
to reach you by phone or SMS.
If you do not wish to receive

10:21:26 17/01/24
Card Number: «xxxexxxeexex GOI OO

Visa Debit ;
Merchant ID: **39557
Terminal ID: ****7000
EFT No: 3983

SALE

me - wi 3 debited
our account will pe
eth the total amount shown.

\ Caooays:,: 1.99 _
\ Noo VUeaVvic CAPA . OS

SOURCE ; CONTACTLESS

APPROVED
Authorisation Code: 790168

",Groceries
"n | BO a Jt [ (Ore
nf CHOUSE

by ee lel vd

568 - GOSPOR| TWH 1568
Store Tel: 0249282 3410

Store Manager : 4a°on
You vere served today by : Mason

UIY OESCRLPT TON PRICE AMOUNT
1 TIGER BLOUHER £1.60 = £1.60
J BRIOCHE ROLLS 4PK £1.50 £4.50
1 NANDOS SAUCE e350 = £3.49
1 CHEESE SLICES 7.60 £2.)
1 GRATED MOZUARELLA £2.60 £2. 6
2 MIXED EGGS 15PK £2.20 £4.40
Suld [tems. 3
otal £19.20
DISCOURTS:
Mix & Match 3 For £3.00 FHH -£1.50
Sliced & Grated - 2 for £4.50 £0.70)
BALANCE DUN £17.00
TENDERS:
Credit/Deh t Cards £17.00
51868

MIC): HAS 938) PTD: 32399704

Visa Debt

aaacxnonnoga S16 Expiry Jate: 12/29
SALE > WWED

Please dibit my account

AMCILINT : £17.00

TOTAL : £17.00

AUTH CON: 4821777

CARDHOLDER DEVICE VERTF LE()

ITO: HAHA 194
AI(I: AOOONNNG3 191)

App Sed: 00

FR ICID II IK CH AIT WH HI KIKIEEE
x Your Total Discount ‘
® Today is -£2.20 x

FIR ICI TEE IK LIT ION I yp KH

nC LO

wrt /2Ue4 22 168 -
fil VAT Nu 4am gag. Ayioagad

6033

",Groceries
"= -—

ne ean ee ae a
Lf, a) Cn V2)
—-

Sy a a AP ae

Ary Fareham Superstore

Ww pestions please Visit

VAT ny co. com store- locator:
“mber: GB 220 4302 31

2 Tesco All Pa
£0.99 each der Potatoes 2kg £1.98

I Tesco White B
1 Nestlé Cheerios Musca, £0.79
4 cereal 800g grain £4.00
cca c egul
£6. 10 each gener 12 450m1 £24.40
C Loca Cola
1 Tesco Tartan Wrap 3.5m “eo.
Reduced To Clear Discount io
Was £1.50 Now £0.75 £075
1 ial Jumper AWw23 Fisherman £18.00
1 Tesco Ezlon Pedestal & Bath £9 00
Mat Set Mid Grey )
1 Teseo British Semi Skimmed £1.45
Mil« 2.272], 4 Pints
1 Tesco Beef Rump Steak 255g £3.84
1 Flash Spray Wipe Done £2.49
— Antibacterial Cleaning Spray
Apple 800ml
3 Or Beckmann Original Glowhite £4.65
9x40g
£1.55 each
1 Tesco Dishwashing Rubber £1.35
Gloves Medium 1 Pair
2 Tesco Beef Medallion Steak £5.98
22/9
£2.99 each
1 Tesco British Double Cream - £2.30
600m]
1 Tesco Sauce Bottle 2 X 330m £9 50
1 Tesco Tie Top Bin Bags 501 x £9 59
20 Pack |
9 Tesco Buttery Spread 1kg £3.80
£1.90 each
1 Blo0 Power Active Flowers 3 X £3.00
1 res09 Stainless Steel Cleaner £2.00
00m ae ,
2 sc 15 British Mixed Welght £3.98
Eggs
A” 99 ean eee __
a £99 47
subtotal : -£7.52
vings: | -£7.52
0 Promotlone: _a--------~. wen ecrnt eens
_oeeerr £91.95
TOTAL: __ £91 95
Card ene enone ===
ee + earned: | 91
- d point” palance.
c1ub0at point? pe ---~ ee __ 346
clubcar™ 7 - oo
--- Credit A00oagd003101
Vine Cr ey ToE
Al bel”: og MO d0
Num quero, code: 276099
pan 9097410 26284805
",Groceries
"—_— eee

OY DESCRIPTION
2 RICE KRISPIE M/G
1M YORKS/PUODING tRay
1M BRIT 5/SKIM MILK
1 ROAST BACK BACON
Reduced Item

1 BELGIUM BEER HAM

Reduced Item

TOTAL
Cereal Multi Offer 9

BALANCE DUE
Card
Visa Debit PAYMENT
ATD :A0000000031010
PAN MOK RK? 316
Exo: 1229
Seq 200
HID =: ¥®18392
futhCode: 11 - 603934.
(ARDHOLOER DEVICE VERIFIED
HANGE
Number of ites:
MUL TEISAYVE
PAVINGS AT fw
geowsesele™ ti eoyon ean
Norrisons tore
carn More Pots vhen you by
| ONTINE and every +
You ©AN also accas

CONTACTLESS

IRN: 933727
TID: xx#x3286

1. 58

ime you byy fuel,
S Exclus] ve Pric¢
anG V@Cei va actan. : ve eS
and rel ve offers Just for You
ae wore IMFOMtION yi sit WW. itary jsorS-Co
FO gusset WOPY 14

yoo Hore Oints:
Your ban ose of last Soy) 5
Hore Porn ey this shop
yg PN 0382 ox? Oy
jp tlde - vai RE 4 yoy pe expel Men.
Holy 12 ae abuse Cary Refuge ‘s

Ete g se? Ray,

ANOUHT
£6.56 F
£2.00 A
£2.15 0)

£0.26 F

£6.59 F
£11.53
“£1.98
£10.00
£10.00

£0.00
0

ORR YsUNS

: te lee: at . CEG Cy vee > Cj .
CERBERUS Cray pease CE EU RE Be gear

Y selected products in Store

hore
Shite ca gh
aH

0

",Groceries
"Fareham Rd
VAT NO. GB350396892
Enter survey: lid) co.uk/haveyoursay
& you can win £100 of Lid] Vouchers.

i

5

Sliced Mushrooms 0082 % £0.95. 1.90 A

DISCOUNT 60x -- =f 14
Cutlery Organiser 0430094 3 99 B
Barista Oat Milk 1 33 A
Almond DrinkOri ginal 0.99 {
Soya Drink Sweetened 0 96
Window Cleaner 0426328. 1.9% 7
Split Pot Crunch :

SplitPot Biscuix Yog | o
* Sweet BBQ Ribs 2x £4.69 .9.3
7 (ChickenBreast. Fillet 5
L 1.000-kg @ © 5.99/kg

7 Teriyaki. Pulled Pork 2.98 A
| btbynoa aa yer® pages pe fp ON A

o. Cornf\ our 1.25 4
Condensed Milk 2x £0.99 1.90 *
CheeseTri ang! esNatur | cane
TOTAL , . oo. oU60 ""
CARD . - —~ 5) oo

aw Be wR am cw ME a fe ee ee eS SE a oe om em OP > of me Fe eR ee ee Ce. me ee

xCUSTOMER COPYx - PLEASE RETAIN RECEIPT
Date: 19/01/24 Time: 18:02:52

~ MID; *x*x95315 TIO: xx*x9991
| TRNS NO: UK164476009082019241 —

' Visa Debit . -  « OR RERNPRNRRRRGO LG
00000 tO ae kts cha
bs :

y: ace wre rst aaa «
Lontact obs stitch SALE
ANSUAT ESO 66
7 APPROVED by Cardholder Device
N ATH CODE 487182
_ PLEASE _ AT :

t ™ WO ee mae os co gg

— ERT ACCOUNT wth Vola SHON
",Groceries
"7) oN ; { ws co j | 6” “ (any on © é And ~ , \
edt waren mt _ on

i (Cy) UL) [ l] @ ce UJ U Moe i. , p

‘, )

Poundland Linite? :

Hhank you tor ehopriny with porn tartd
Connect urth us un Tuittel

WU. poundland.co.uk/help/contact-stures/

(125 92"") 4465
pound Land

VAT Number: 547 5122 45
SOOML PEPSI MAX BOTTLE P aa
2504 ROYAL. GANG PURK LUNCHEON é He
PARACETAMOL TABS 165 p #490
(3 x £0.50)
Age Confirmed Over 16
DELCATESSN FRNKFURTRS 2406 PHP 2 £1.00
LISTERINE COOLMINT 750HL p £3.25
Multibuy Savings
PARACETAHOL & IBUPROFEN 3 FOR -£0 .50
«+ Total for 7 item(s) inclusive of UAT £1.15
(VAT paid) £0.87
CREDIT/DEBIT CARD £7.75

CUSTOHER RECEIPT
POUNGLAND LTD - 1935
84-86 HIGH STREET , GOSPORT , PO12 10S
11/01/2024 15:10:54
RECEIPT NO. 228303
MID: XXX68694 TID: XXXX2166
AID :A0000000031010
VISA DERIT
XXXX XXKK XXKK 3016
PAN SEQ NO. :00

SALE GBP7.75

TOTAL GBP7.75

PLEASE DEBIT HY ACCOUNT

CONSUMER DEVICE VERIFICATION

CONTACTLESS

PLEASE KEEP THIS RECEIP] FUR YOUR RECORDS

AUTH CODE: 266299

xx Total Payments £7.75
£0.00

Change

A Chance to Hh

£100 Poundland Vouchers
by telling us about your visit
www poundland.co.uk/tel|-us
One Winner Per Month
saa website for | and Cs
Posing date 30th June 2024
DM nen Te occ otet et ee eer tear haere.
",Groceries
"rs t 7 4 : 14

eos mee |
AL CL Jha
} i. a i L a e v4 b. 1,

| a ) L Noms foe ‘C4 ods

‘

: J KS LA 1 | ' MI “

|

| Poundland Limited

Thank you for shopping with Pound laid 0235 92752 3409
Connect with us un Twitter @Poundland

Wuu. paundland.co.uk/help/contact-stores/

VAT Number: 547 5422 45

LUXURY CHRISTNAS CARDS 1OPK P £0.50
LUXURY CHRISTHAS CAROS 10PK P £1.00
(2 xX £0.50)
CHRISTHAS TAPE 2PK p £1.00
(2 x £0.50)
CHAIR CQVER P £1.00
(2 x £0.50)
GEL CLING P £1.50
(3 xX £0.50)
LED PEARL LIGHTS i0PK P £1.00
(2 xX £0.50)
xx Total for 12 item(s) inclusive of VAT £6.00
(VAT paid) £1.00
CASH £6.00
xx Total Payments £6.00
Change £0.00

A Chance ‘0 HIN

£100 Poundland Vouchers
by telling us about your Visit
www poundland.co.uk/tel|-us
One Winner Per Month
cee website for | and Cs
Closing date 30th June 2024
LIAISE RIE A AIA TTA TIT IIIT

Shop Online at No TTLITRi
Tf PULAU A AUT VITAE FS

EP re eemeeiresy

ae
_—_————oooo

a
7 =~ oa

~ mo _
shove oN?
",Groceries
"12

4

TESCO

L” a” Ww oy £7
Gosport! ow Petore
Any duleotion ptr vist

www, tusco.com fore bevcghoat
VAT Number: Gl. 720 ddU2 51

Growers Hetvest Mew Votatoe.
In Water Sb7g
€0.38 each
Tesco Meathitis di bomen os
hatice Mg
OH ach
Baked Bean:
atice 4xd2ny
Reduced To Claw Discount ry,
Stockwell & Co tuna clues t4 \)
Brine 145g
£0.55 each
Heart. food Cu.) oo. 8 thot
Pasta » dd0y
£0.41
Heart. =... ee re i
440g
£0.45 cach
Stockwell & Co Tem. — k
540g
£0.82 eacl:
Celebrations “hoce lace
60U.5
Maggi 2 Minute Chacko | teu yooan
Instant Noodlas 75g
£0.65 each
Tesco Chick:
£0.55 eact
Tesco Can i loaii Beans Water 14
400g
£0.59 eA)
Grower Her vest Recl Kidney
Beans tii Weter 4004
FO 38 eav
Tesco Kutter Beare In Water , 1.18
400g
£0 59 each
Catia Whi le Sing bee
Gum Koltle 4. > 7:
Mama vet mies tbe
Simp | Vid.
Ring Woo. tuwrt.. © Baek
Hearty =) o Shaghet! | i: 56
Pasta 9UUy
C0. 28 each
Hear § | cued Coy, ke
500g
£0.41 each
Tesco Italian Finely
Tomatoes 400g
£0 49 each
Redkice ofa ban ni ooo
Clue Deagon Glow metis ; be
‘quce 1209
Reduced To Clear Disem.. |
Stockwell & Co Spaghett:
410g
£0.19 each

Jan foetal!

ichup

iub

1. Im Water 4uu.;

ar by ey eh s ka

\ rala

may ad 10.98

ct) Ag

aid A]
»(, /6

Reduced To Clear Di:scount

1 Aw23 Ff Bodyst Cowl Neck

Slink Cream 14
Reduced To Clear Discount
Was £14.0000 Now ¢8.00
1 Growers Harvest Gardan Per: In
Water 3004
Pepsi Max No |
7330!
ild.u each
Pot pod To Clear Discount

wee ee

Cola Cans

tela

JV IQS.
Pramation.

LOVAL:

41) G6
~ td 00

-€4.50
-£:6.00
£0.28
",Groceries
