receipt,category
"Te ’ +? y . . —
| (6 |

Tell us how we did
and get a delicious deal on your next
visit(offer valid for age 16+) *

Go to www .mcdfoodforthoughts .com
and enter this 12 digit code:

vino FF—-&8CkB
*0,ic, T&CS apply:
http: //mc-ds .uk/fft-tos

Thank you for eating at
McDonald’s
Bath Road Retail Park
Slough
SL1 4DX
Phone: 01753 531816
F-mail: 00711@uk.mcd.com
TAX TNVOGiCE
REG 22 Date: 26-1u-2023 Time: 05:31:58
Store U¢ll °

1 Db] Saus+Egg Muffin EVM 4.22
1 Has!li Brown 0.00
1 Hash Brown 1.49
| Mineral Water 1.17
IN Total (incl VAT) 88
A00N000004 1010
DEBI? MASTERCARD
537234XXXXXX0806
PAN SEQ: 00
26/10/2023 05:31:04
037398 11071122
SALE
CONTACTLESS
Total: GBP6 .88

NO CARDHOLDER VERIFICATION
AUTH CODE: 490683
MID: **62451

VAT Number 25398765/
TAXA AMOUNT TAX

INCL. TAX: 20.004 6.88 1.15

Fortress Operations Limited
A Franchisee of McDonald's
Restaurants Limited.

Allergen and ingredient information
is available on the McDonald's
website: www.mcdonalds.co.uk/nutrition
",Eating Out
"a

Sainsbury's

Helping everyone eat better
TAPLOW
01628 661529

Sainsbury's Su -kets Ltd
permarkets
33 Holborn London EC1N 2HT
www. sainsburys .co.UK -
Vat Number : 660 4548 36

* CUTEX PLSH RMV £1.65
*OLAYCLEANSINGJELLY £4.00
xOLAY TE SPF30 £16.50
xOLAY TE SERUM £16.50
4 BALANCE DUE £38.65
ARGOS Card £38.65
[S] Xx KR KK KKKKKKKKK IBIS
MERCHANT : x «xx Q63E
AUTH CODE: 053311
TID: x*xxxO199

Cardholder Signature Verified

CHANGE £0.00

KK KKKAAKKKKKKRKRKKKK KR KK KK RR KKK KKER KK KKK

WITH NECTAR YOU WOULD HAVE EARNED:
POINTS 37

REGISTER AT Nectar .com
or download the app.

KKK KKK KKKKK IKKE KKKRKKE KR KREKKKKKKRRE KKK KR KK

xxxxx For a chance to win **xx*
100,000 Nectar points
ylease tell us how we did at

lettuce-know.com
KKKKKKKKAKKKKKKKKKKKKKKKEKK

PLEASE KEEP FOR YOUR RECORDS

PUBLISHED TERMS AND CONDITIONS APPLY

|

C168

HINA

629963807441 7600141023

#4176 = 17:45:52 = 140072023
50938 R74

Iharik you for your Visit.

",Groceries
"www. tel lasda com

ASDA STORES LTD.
WiW _ASDA.COM
MANAGER IAN DALEY
TELEPHONE 01753-524017

SLOUGH,
Si. 04154 OP. 009040 TE. 40 TR.
SALAD BAG 5054 78155749
uy E re GRAVY 500035491960
ye ae ae JUTCE 502231300031
pe ES ag BAGELS 501004401004
a ee ~ ND COLESLAW 505244985433
aaa oe POMEGRANAIL. 505478179687
cy i. SWEETCORN = 505478124872
po ye FOLL 505141362235
ae GRAVY 500035480952
py CUCUMBER 505085420997
Fe a0 PEPPERS 505478158007
re Lo SWEETCORN 505478124872
ae re TOMATOES 505478157957
are a SAUSAGES 505605330470
Box Sh a CHEE SF 762220169477
ee Jo od CHEF SE 905407027560
WOR ae Jo RED ONLONS 905141311447
BRR Sn CORIANDER 90571 7243977
SOIR EE ad AVOCADO 505478159368
Coos SAR EGGS 000002040609
ee RETA WATER 905478156925
"" ak HB BREAS{ 025764000323
. HB BREAST 025764000277
Asda Rewards
TOTAL
CARD
TOTAL EPS

EPS NO. 645
ALD A0000000031010)
CT :80 CV :E94E9UCAAAG587ED
Visa DEBIT
*Device Veritied
A/C No.
TERMINAL No. 0015454133
AUTHORISATION No .023269
Visa Contactless

23/10/23 10:10:00

CHANGE QUE

PLEASE KEEP THLS
No. ITEMS §
ICH 8854 3428 38

NNN

Shop online at Asd

Hil

[

9

for easy

xaxl or a chance to win £1 OOO xxx
Please tell us how we did today at

[2\SIDV0\

06686
£0.50D
£2.50D
£2 .00V
£1. 70D
£1.60D
£1.70B
£0 .65D
£1.20V
£3. 80D
£0.79D
£0. 99D
£0.65)
£0. 85D
£2.30D
£2. 20D
£2 55D
£0.95D
£0. 60D
£0.89D
£1.50D
£2 .00V
£3.23
£2.77

£38.22
£38.22
£38.22

2K ORK Kx 244g OC

£0.00

COPY FOR YOUR RECORDS
4
Al

il

home delivery or collection in store

23/10/23 10: 10:08

",Groceries
"AMOUNT

£4.00
£3.00
£1.50
£0.85
£2.50
£9.00

/
£16.89

£20.00

as
2 | wore —~ -
Calan
TRA KS ‘an C|
| 1 NG ONG KS —-
1475 - SLOUGH 3 1475
Store Tel: 01753358180
Store Manager : Simon
aoe Jou were served today by ;: Gurvinder
be OY dh wo P ELON PRICE
ee LAVEURST HACARONS £4.00
it Hi ATE ORANGE STK £3.00
fon AT LOS £1.50
| PLANE COOKIES 1506 £0.85
i A TPACHA SAUCE £2.50
HAMHUUD BALT] SAUCE £2.50
. wold | tems:
WAP ANCE (UL
| | HUE Ata:
! Cail
(HANUt

A

H291 47500372071 0252023

tae Led ee MY A CYA rf

VAI Na. 849/54470
Moot Koop receipe for your ecards

ot: FOO0S OPIBBS99Ob

18839906

IX/20/

Thank you far shopping with: us

WwW. Feu land. Ga. uk

“£3.19

wT

/20/
",Groceries
"ourhoe
‘ Pleo ue

a hay

» to mtn £10

ted]
wang bow we did Yo
let laa orf

[NAD

cane SIORkS 110

SDA . COM

ve\

MANAGER TAN D
ALLY
ILEPHONE 01 79°524017

yp! aut
day at

St. 04154 oP. ‘
Grats SAO He, a0 1.
GRAPES 5063089 13306 Fs oO
BROWN ONIONS Read Be OTe be pale
nrocca'T  Seeeratisaat 6
CLEMENTINES 084070704431 fae
POTALOES = 05478154194 £290
APPLES 5054781401781 Ey 490
an ES 5054781401281 et 3
LOMATOES 505478157957 £0.80
PRING ONION 505085426302 to Be
LETTUCE 00000230037 £07
Sor} DRINK 400017 702122 £2 SOV
R STA _ 505478193902 oe
ISCUITS 5000 1680320 £0.71
CANDY iw 207 75801613 £1. 100
OFT DRINK 085004042711 eared
SQUARES 505932100344 COO
NAPKIN 5054781421193 £1. o0V
NOODLES 880107321077 £1.
WATER 59010674002 £1. 790
CHOCOLATE 51903090571 et
SWEETS On agC0RS80 £1 Ov
SWEETS 505717257915 A Ov
SWEETS 400990054610 £1. By
BISCUITS 301776036339 2
NOODLES 844529043977 fo S00
MINTS 505244978176 SOY
TINTS 502466052151 UN
SWEETS 400990053930 SL oBV
SWEETS 5010478031 79 £1.15V
PEANUTS 000002721207 €1.10V
WEETS 505717209945 £0 .30V
SWEETS 505717209197 £0. 30V
SHEE [S 505717209198 £0 .30V
SWEETS 505717209197 £0.30V
FRANKFURTERS 503452500937 £1.90!
CHEESTRINGS 500018713094 BD oop
CHEESE 505407027564 £2.55)
COLTON BUDS 505478187157 £0 .50V
CONDITIONER 489709726916 €3. 75V
WILLOW 000005029540 €1.50D
TOOTHPASTE 800109095814 £2.20V
PENS 302698187678 £2.50V
BISCULIS 505717272914 £1.15)
BURGER 509955602168 €1.25D
BURGER 509955602504 £0.90D
HOT CHOC 000009603313 £0. 40D
HOT CHOC 000009603319 €0. 40D
HOT CHOC 000009603319 £0.40
HOT CHOC 000009603319 £0. 40D
CHICKEN 506047999701 €1.10D
FRANKFURTERS 503452500937 €1.90D
CHEWING GUM 400990053218 £2 .75V
REDUCED TO CLEAR WAS £3.70
MINCE 000002753622 €2.370
SWEETS 501203595227 €1.25V
BURGER 509955602168 €1.25D
SWEETS 505717209190 £0 .35V
CAKES 800158500104 €1.50D
SPAGHETTI 000002104306 ¢£0.75D
ELMLEA 871920020476 £1 .30D
ELMLEA 871920020476 €£1.300
PASTA SAUCE 500035491067 £1.75)
PASTA SAUCE 500035491067 €1.75D
TOFFEE APPLE 506040145000 £0. 750
OLD EL PASO 841007647030 ¢1.800
WATER 505717283943 ¢2.75V
WATER 505478156925 £2 .00V
WATER 505478156929 £2.00V
WATER 505478156925 £2 .00V

Asda Rewar ds
MULT TIBUY SAVINGS

Produce , £2 175L
x2 SL TTBUY SAVINGS £1.43
TOTAL ¢101.13
CARD €101.18
TOTAL EPS £101.13
S NO.
AID NO 09010031010
CT:80 CV: FE 16F 88800621 1CF
Visa DEBIT
xDevice Verified
A/C No. **** RIK KKK 3159 0 C
TERMINAL No. y015454133
NU(HORI SAT LON No 023222
Visa Contact On)
10/23 10:28:06
CHANGE NUE ¢0.00
PLLASE KELP i copy FOR. NOs RECORDS
No. TIEMS SOLD /
il iyi
ww com for easy
Howe delivery Y Se ection MS

93/10/28

",Groceries
"5
TR a
iy aes
S rr ~
wey ~ ae ww
Mey Ae
ke SYN
md p Aw
ye aN Sa ON
Na “LO * * Aa A
SNE OR ON ae OT .
YY ANS aan
> Ne Ned ~ ae . . a
os Nee ~~, io
Vas Nees oS sh :
nay ae an Sey. Ne “ Y ¥ ;
~~. : a “oakw MS
toy , ~ . “os Oe ot ak . o7 2.
co moe ae oN ARy
~ ~ wt ~ a
we aa was
an \ woe’. NY
x- v8
So AS, ON.
22 Ma TA
~ NN
: \
Yor
yON
. Ware
Ww
roo . ‘
\ ‘ A
‘S AN
yo Soe
AN Pn ‘ My
Wel
a aX
~ N
ww See
oA
1 ween
. we
2 . AA
™~ : ef
v ere
. vtec!
mA ba Lrb3
~ : ae!
TN ad
Bee me a:
ann mo
nana Se ot aw
ay eT wR ee
x. SUR Re sth Oe
S Te ae le
Seat cg ee mee “oD,
a nO Sale a
OM The Fd
oe NS an _}
Av. Veo . we ‘
ete eS . “
m7 aé, By ~ A
owe SS ie
oe >. .
vo wre, i
. ne
ae OST
= = |
- {
|
\

OC
M&S
EST. 1884

293 - 299 Bath Road
Slough
SL.1 SPR
01628 600546
VAT NO. GB232128892
www. marksandspencer .com

00192781 FULI. BAGUETTE e1.10
00192811 HALF BAGUETTE £0.80
00192811 HALF BAGUETTE £0.80
00314121 WHT MUSHROOM £1.00
00125642 CARROTS LSE £0.19<
YOUNG MINDS OCT23 £0.12
Balance before Saving £4.01
xxPRODUCE BAGxx -£0 O01
Items: 6 Balance to Pay £4.00
Card Tendered £4.00

«x *PAYMENT APPROVED***

xxkCARDHOLDER RECEIPT «xx
Visa Debit

MID: x*x*x02072 TID: *x**9297
CARD: 465865XXXXXX6013 AUTH: 050134
READ: ICC PAN SEQ NO:00 —
AID: AQO00000031010

PIN VERIFIED

SOLON OKRA RA ANAK AA KAA RIK KARR KAR KK

Your total saving today is £0.01

WON NIH RNR RAR RRNA RRA REE SENET TESTER TIER RIO

JOO COCO III IO IOI IIB KK KK RK

xx Join Sparks Today! xx
FOCI IO IIR ICR KK KICK KK KX

Fancy the chance to get your shopping
for free?

Want to know you're helping charities?
",Groceries
"Sainsbury's

Helping everyone eat better
TAPLOW
01628 661529

Sainsbury's Supermarkets Ltd
33 Holborn London EC1N 2HT
www.sainsburys.co.uk
Vat Number : 660 4548 36

KRISPY KREME 3 PACK £7.35
SKU: AW23 G11 SEPT M £28 .00
2 BALANCE DUE £35.35
Clothing Save 25% -£7.00
TOTAL TO PAY £28 .35
COLLEAGUE DISCOUNT
£28.35 @ 15% £4.25
[S] 6341 76xx xx*xx 7034
ISSUE NUM. 2
Visa Debit £24.10

contactless »)))
(ICC) xxxxxx%xxx%x 3022

AID: AO000000031010
PAN SFQUENCE: 00
MERCHANT : Kxx*K G28
AUTH CODE: 010090
TID: x*xx*xQ200

No Cardholder Verification

CHANGE £0.00
YOUR SAVINGS TODAY:
PROMOTIONS ~£7 00
COUPONS ~£4 29
TOTAL SAVINGS “£11.25

COICO OCR ICO IO OIC IOI OR ICR IIR IO OIC IK
MY NECTAR SUMMARY
[C] xxxx xxx xxxx 5713010

POINTS EARNED ON £21.00
PREVIOUS POINTS BALANCE isxe
POINTS EARNED 21
NEW POINTS BALANCE 810
YOUR POINTS ARE WORTH £4.09

ARKKKRKKKRREKKENKKRRKRNKA KER KKK KK RRR KKK KY
Check your Nectar app to see
points earned on offers.

xxx For a chance to win xxxxx
100,000 Nectar poim.
please tell us how we did at
lettuce-know. com
KKKKKKKKKRKKKRKKKKKKKKEKKEK

PLEASE KEEP FOR YOUR RECORDS
PUBLISHED TERMS AND CONDITIONS APPLY

WA

6290638075336 700211023

",Groceries
"EST. 1884

293 - 299 Bath Road
Slough
SLI 5PR
01628 600546
VAT NO. GB232128892
www. marksandspencer .com

29313532 MED 20 SRGE BAG == £2.50
29313532 MED 20 SRGE BAG =—S £2.50
00121934 YOUNG GAR PEA2 = £1. 26R
00121934 YOUNG GAR PEA2 ~— £1.26
00121934 YOUNG GAR PEA2 — £1. 26R

00121934 YOUNG GAR PEA 2 £1.26R
00807241 MIXED GRAPES $2.50
Itens: 7 Balance to Pay £12.54
Cash Teridered £5.00
Card Tendered ¢7 54

xx*PAYMENT APPROVEDxxx

x**xCARDHOLDER RECEIPT xx»
DEBIT MASTERCARD

MID: «*x02072 TID: xxx*925¢
CARD: 534794XXXXXX2246 AUTH: 614126
READ: CONTACTILESS PAN SEQ NQ:00

AID: A0000000041010
NO CARDHOLDER VERIFICATION
PayPass Coritactless

KCK IO IOI POX IOK RK IKK KERR
KX

CRN AK KA KK KA K

wx Join Sparks Today!
ee wy wee OA KOK KKK KK XK
",Groceries
"a a TT
WW ERS
MES
EST. 1884
293 - 299 Bath Road
Slough
SL1 5PR
01628 600546
VAT NO. GB232128892
www. marksandspencer .com
a 29259984 SURFACE CLEANER £2.00
Se 29260058 SHOWER SHINE £2.00
_ 233-28 00183192 MARIS PIPER LSE £2.0/<
fly SS YOUNG MINDS OCT23 £0.46
--: Balance before Saving £6.53
xxLoose Produce Bag«* -£0.02
x*PRODUCE BAG** -£0.01
Items: 4 Balance to Pay £6.50
oo vee Cash Tendered £6.50
Bf ES ae KKAKKKERRAKKKAKKKKARAKK KKK KKK KKK KAKA K KEKE
SESS Se RE
SE FG, Your total saving today is £0.03
Sos, ames Sete AERO SISSIES SSS LR II TSI

KKK KKK IK IKI IKI REI EK IRE BE RE KER EKER ERE

xx Join Sparks Today! «x

EK KKK KI AISI IKI III KIKI IKI IK EEK KER EE

Fancy the chance to get your shopping
for free?

Want to know you're helping charities?
Join Sparks at

mnarksandspencer . com/joinsparks
or download the M&S App

Good things happen every time you shop

Please retain for your records

| Tf our M&S refund palicv applies —
the last date for a refund/excharige |

felt AEA Sharriées
",Groceries
"Harrods Linited
87-135 Bro:zpton Road |
LONDON SWIX ?XL
Telephone: 020 7730 1234
VAT Number: 629273423

CUSTOMER COPY

24/01/22 19:53 NTO163-001902

You have been served today by
Glen

308 9999999308 Concessiun _ £620.00
Product Code: 113J1699A0531 (989

DIOR MENS + TH
BLACK CD ICON SWEATSHIR .
REFUND AND EXCHANGE WITHIN 14 DAYS IN PERFECT

CONDITION

0.00
TOTAL (1 item) £620
Debit Mastercard Tendered £620.00
Card : Debit Mastercard
ree : okbAA ORK kaka 7033
Auth Code : 331674
Merchant ID : **«00262
Terminal ID : *xx«6006
PAN Seq. : 00
AID : A0Q00000004 1010
Cryptogram : 40/8CB12BFEE67F 1740
Please debit my account as shown
Cardholder PIN verified
Please retain for your records
HARRODS REWARDS DETAILS
Kewards No. 1K KEK KKK 7G 75

Rewards Points balance: 433 as of 24/01/22

SN UL

Open Monday - Wednesday llam until 7pm
Thursday - Saturday J1am until 8pin
sunday 11:30am unti] Gp
(browsing only between 11:30am - 12nv0n)

Find us on Instagr am
Wharrads @harrodsman
@harrodsbeauty @harrodsfood

Manik you dor your viet to Matias

To epi ane
5, wi We cape really Kerere Lao breteay yOUL viEw,

PEYOTE CACO DCO LG Oslp as itpcage

oe aa ONE Services

foes wp
s b's *\s ccs he ‘
ly a rh a rota es Set Ea Wecode ta cocapiete

‘ whioe aiid \e ¥
",Personal Upkeep
